formula,trace,synthesized stl,theta optimal value,optimization time,test result,robustness,error,,,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace60_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace51_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.057909054078476942],,,0.057909054,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace73_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace06_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.045406273545081234],,,0.045406274,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace72_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.51042354106903076],,,0.510423541,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace97_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace76_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace42_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace48_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace57_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
