#{"t_start": 1762226713.291023, "env_id": "None"}
r,l,t
-317.309001,2221,3825.076293
-376.809002,2221,3832.890168
-327.808998,2221,3852.28458
-323.809001,2221,3858.762546
-298.809,2221,3878.609536
-297.308998,2221,3885.076831
-342.309,2221,3905.54724
-268.809001,2221,3911.871372
-282.809,2221,3930.962827
-304.808998,2221,3938.412889
-337.308997,2221,3957.791232
-286.309004,2221,3977.993826
-254.808997,2221,3984.504471
-259.808997,2221,4004.953359
-297.809002,2221,4011.526968
-338.809004,2221,4030.571904
-248.808999,2221,4038.054835
-332.308999,2221,4056.824368
-502.753444,2221,4063.194898
-362.309001,2221,4083.474089
-370.809002,2221,4089.629514
-342.808996,2221,4110.449636
-327.309002,2221,4116.754411
-391.753446,2221,4137.220535
-277.808998,2221,4155.725059
-343.808999,2221,4162.413615
-297.808999,2221,4182.724502
-369.308999,2221,4189.257812
-305.809001,2221,4209.431374
-322.808999,2221,4215.783516
-357.808998,2221,4236.267223
-346.308999,2221,4242.501603
-384.253447,2221,4261.809812
-290.809003,2221,4269.262097
-448.253445,2221,4288.459723
-255.808999,2221,4308.288709
-467.753444,2221,4314.845684
-292.308998,2221,4334.739767
-309.809002,2221,4340.827708
-509.753444,2221,4360.21704
-323.309001,2221,4367.845972
-234.808998,2221,4387.294803
-293.809002,2221,4393.811891
-291.809002,2221,4414.0708
-235.753441,2221,4420.411951
-253.809004,2221,4440.615233
-282.309,2221,4460.213185
-197.809002,2221,4467.699205
-288.808999,2221,4486.82898
-265.308999,2221,4493.545589
-295.308998,2221,4514.15899
-361.753445,2221,4520.765413
-467.253444,2221,4541.239178
-300.308997,2221,4547.78185
-317.808998,2221,4568.134625
-305.309,2221,4574.470115
-334.309001,2221,4593.852715
-320.253447,2221,4600.990074
-282.309003,2221,4620.935015
-340.809003,2221,4641.521862
-549.753444,2221,4648.323115
-516.253445,2221,4669.193068
-315.308998,2221,4675.716436
-354.808999,2221,4695.967299
-323.308998,2221,4702.514197
-568.253445,2221,4722.061824
-351.308998,2221,4729.375285
-308.809001,2221,4748.293398
-341.808998,2221,4754.641828
-224.809003,2221,4775.12494
-527.753444,2221,4795.943462
-320.308998,2221,4802.763232
-402.642335,2221,4821.795935
-460.253445,2221,4829.287669
-338.253444,2221,4848.709049
-289.808999,2221,4855.21773
-486.753445,2221,4875.279714
-442.253444,2221,4881.568433
-290.142331,2221,4902.349594
-336.808996,2221,4908.596296
-305.308997,2221,4929.265979
-325.308999,2221,4948.076728
-367.809001,2221,4954.813856
-333.308999,2221,4974.91613
-301.809004,2221,4981.444153
-534.253444,2221,5001.552042
-299.308999,2221,5007.993392
-350.809002,2221,5028.255104
-345.808997,2221,5034.737231
-349.809,2221,5054.333923
-538.753445,2221,5061.846685
-321.308997,2221,5081.094953
-329.308998,2221,5087.430075
-343.308999,2221,5107.944141
-319.808997,2221,5127.997169
-500.253445,2221,5134.65764
-293.308999,2221,5153.879274
-329.309001,2221,5161.344903
-275.253443,2221,5180.707913
-264.809,2221,5187.083498
-255.308998,2221,5207.915244
-223.809,2221,5213.952391
-225.808999,2221,5234.598383
-298.308997,2221,5240.838835
-329.808996,2221,5260.937924
-405.253444,2221,5280.703304
-336.253445,2221,5287.236253
-253.808997,2221,5307.915496
-311.253444,2221,5314.418185
-320.309002,2221,5335.205785
-257.253441,2221,5341.626426
