time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate
3530,-293.39788869000006,866304,141,245,2221.0,-6.4835644116004305,0.13053879141807556,0.9983962178230286,0.031755339720499855,0.5578021282951037,0.4678141276041667,0.050711747,0.2,560,0.00025
3556,-292.72622207000006,872448,142,245,2221.0,-6.635405431191127,0.5043194890022278,0.9988130927085876,0.015281415178227084,0.8807294468084971,0.3508707682291667,0.015927482,0.2,564,0.00025
3581,-296.64344434,878592,143,245,2221.0,-6.644255215922992,0.23422226309776306,0.9987672567367554,0.013273094220494386,0.8977359492952625,0.2947184244791667,0.01262937,0.2,568,0.00025
3607,-296.63122202000005,884736,144,245,2221.0,-6.684976428747177,0.36565977334976196,0.9985343813896179,0.006932831172889564,1.0737112984061241,0.2254638671875,0.02346576,0.2,572,0.00025
3632,-301.8939998200001,890880,145,245,2221.0,-6.745017771919568,0.20496949553489685,0.9989740252494812,0.008499291924332889,0.8468799293041229,0.23978678385416666,0.0189744,0.2,576,0.00025
3657,-304.6628888,897024,146,245,2221.0,-6.741704414288203,0.269513875246048,0.9990779161453247,0.0072918897567433305,0.7842444457734624,0.21846516927083334,0.015158887,0.2,580,0.00025
3683,-308.2078888600001,903168,147,245,2221.0,-6.690594345331192,0.18046051263809204,0.9987040758132935,0.00920153756912138,0.7557430736099681,0.24552408854166666,0.017704671,0.2,584,0.00025
3709,-316.32066666000003,909312,148,245,2221.0,-6.6822029401858645,0.15458406507968903,0.9991604685783386,0.013406959100393578,0.701188919134438,0.3053792317708333,0.031020397,0.2,588,0.00025
3735,-319.71677780000005,915456,149,245,2221.0,-6.756691207488378,0.19013363122940063,0.9990711808204651,0.009264295680623036,0.7853794315208992,0.283935546875,0.014057253,0.2,592,0.00025
3760,-326.95566662000004,921600,150,245,2221.0,-6.77361287176609,0.1552676558494568,0.9990617036819458,0.008491018845234066,0.7674536245564619,0.2881673177083333,0.026437797,0.2,596,0.00025
